Date,INFO 1st,INFO 2nd,ICICI 1st,ICICI 2nd,Tata 1st,Tata 2nd
11/16/2016,950.7,955,271.8,271.4,468.1,472
11/15/2016,927.75,931.6,270.6,272.3,457.6,460.25
11/11/2016,925.05,930.65,277.65,279.4,509.2,512.5
11/10/2016,942.55,950.15,293.8,295.4,536.1,539.25
11/9/2016,960,965.2,282.35,283.7,536.1,538.7
11/8/2016,986.45,992.75,284.5,286.05,540.7,543.55
11/7/2016,979.75,985.5,279.4,280.7,508,511.1
11/4/2016,974.9,981.8,271,273.25,512.75,516.2
11/3/2016,971.8,978.15,271.1,272.45,511.3,514.3
11/2/2016,983.75,990.5,273.35,275.05,515.5,518.7
11/1/2016,991.25,997.05,276.1,277.65,533.35,536.3
10/30/2016,1001.75,1013.2,277.45,278.6,532.65,535.25
10/28/2016,1001.35,1008.05,278.15,279.6,538.25,541.45
10/27/2016,1003.5,1010.55,284.3,285.25,522,525.2
10/26/2016,1014.2,1019.1,278.8,280.1,528.75,531.35
10/25/2016,1020.1,1025.1,289.75,291.15,553.85,556.4
10/24/2016,1030.05,1035.1,284.35,285.5,559.5,562.15
10/21/2016,1037.95,1043.45,278,279.35,546.15,548.9
10/20/2016,1027.6,1033.1,277.6,278.95,548.3,551.15
10/19/2016,1031.2,1036.5,265.9,267.15,550.5,553.2
10/18/2016,1028.6,1033.8,270.15,271.3,555.15,557.8
10/17/2016,1011.95,1017.6,258.7,260.15,547.95,550.8
10/14/2016,1018.75,1024.25,242.9,244.25,556.45,559.3
10/13/2016,1042.65,1048,242.25,243.5,545.8,548.75
10/10/2016,1025.15,1031.1,251.45,252.85,564.05,567.45
10/7/2016,1007.9,1013.85,252,253.5,566.9,569.65
10/6/2016,1021.9,1028.15,252.75,254.3,552.5,555.35
10/5/2016,1033.5,1038.85,256.2,257.3,561.2,563.75
10/4/2016,1041.7,1047.55,259,260.55,552.6,555.2
10/3/2016,1032.2,1038.1,257.05,258.55,544.25,547.2
9/30/2016,1030.2,1035.35,253.7,255.2,536.55,539.7
9/29/2016,1029.2,1026.35,250.35,251.8,526.3,529.05
9/28/2016,1040.85,1036.55,261.5,262.9,540.35,543.3
9/27/2016,1041.35,1037.1,260.8,262.1,533.4,535.95
9/26/2016,1036.95,1033.2,263.3,264.65,537.2,539.95
9/23/2016,1046.15,1041.65,271.95,273.25,553.3,556
9/22/2016,1058.65,1054.3,275.75,276.8,558.75,561.35
9/21/2016,1059.3,1055.5,270.4,271.85,550.9,553.75
9/20/2016,1053.6,1049.95,272.6,274.15,548.65,551.35
9/19/2016,1061.35,1058.05,272.45,273.95,554.8,557.85
9/16/2016,1060.6,1055.7,268.55,269.9,551.25,554.45
9/15/2016,1044.2,1040.3,272,273.4,558.45,561.6
9/14/2016,1048.75,1044.8,272.85,274.15,563.4,565.55
9/12/2016,1054.8,1052.05,269.45,271.1,556.1,558.95
9/9/2016,1038.8,1036.75,275.35,276.7,575.55,578.6
9/8/2016,1039.65,1037.55,277.7,279.05,585.9,589.1
9/7/2016,1056.35,1053.2,278.85,280.3,588.8,592.25
9/6/2016,1047.3,1044.35,273.25,274.7,589.9,593.4
9/2/2016,1036.65,1034.45,263.1,264.4,552.55,555.65
9/1/2016,1041.85,1039.5,261.65,263,545.55,549.15
